,Name,Rating,Price
0,Calvin Klein CK Obsession Eau De Toilette For Men,4.30,"Rs. 5,950"
1,Armaf Club De Nuit Intense 105ml Eau De Toilette,4.12,"Rs. 4,750"
2,Davidoff Cool Water Eau De Toilette For Men,4.12,"Rs. 5,900"
3,Dunhill Icon Eau De Parfum For Men 100ML,5.00,"Rs. 8,300"
4,Issey Miyake Leau Dissey For Men,4.50,"Rs. 5,510"
5,Versace Blue Jeans Eau De Toilette For Men 75ml,4.33,"Rs. 3,500"
6,Armaf Club De Nuit Intense Man Pure Parfum 150ml,4.38,"Rs. 6,000"
7,Davidoff Champion Eau De Toilette For Men 90ml,4.57,"Rs. 5,900"
8,Hugo Boss Man Eau De Toilette,4.42,"Rs. 4,150"
9,Bvlgari Man in Black Eau De Parfum For Men,4.33,"Rs. 4,150"
10,Dunhill Desire Red Eau De Toilette For Men,4.33,"Rs. 5,100"
11,Calvin Klein CK IN2U Eau De Toilette For Men,4.38,"Rs. 4,150"
12,Mont Blanc Individuel Eau De Toilette For Men 75ml,4.50,"Rs. 5,000"
13,Paco Rabanne One Million Eau De Toilette for Men,4.31,"Rs. 8,450"
14,Versace Dylan Blue Eau De Toilette For Men,4.50,"Rs. 7,200"
15,Bvlgari Aqva Pour Homme Eau De Toilette,4.20,"Rs. 9,750"
16,Azzaro Chrome Eau De Toilette For Men,4.60,"Rs. 4,500"
17,Hugo Boss Bottled Eau De Toilette For Men,4.29,"Rs. 4,500"
18,Versace Man Eau Fraiche Eau De Toilette For Men,4.44,"Rs. 5,500"
19,Calvin Klein CK Eternity Aqua Eau De Toilette For Men,4.44,"Rs. 5,750"
20,Burberry London Eau De Toilette For Men 100ml,4.38,"Rs. 6,700"
21,Mont Blanc Explorer Eau De Parfum For Men,4.60,"Rs. 6,700"
22,Calvin Klein CK Eternity Eau De Toilette For Men,4.60,"Rs. 5,950"
23,Mont Blanc Starwalker Eau De Toilette For Men 75ml,4.50,"Rs. 5,000"
24,Burberry Touch Eau De Toilette For Men 100ml,4.50,"Rs. 6,700"
25,Drakkar Noir Eau De Toilette For Men,4.50,"Rs. 6,700"
26,Dunhill Icon Absolute Eau De Parfum For Men 100ML,4.50,"Rs. 8,990"
27,Kenneth Cole Black Eau De Toilette For Men 100ml,4.50,"Rs. 6,000"
28,Calvin Klein CK Obsession Eau De Toilette For Men,4.30,"Rs. 5,950"
29,Armaf Club De Nuit Intense 105ml Eau De Toilette,4.12,"Rs. 4,750"
30,Davidoff Cool Water Eau De Toilette For Men,4.12,"Rs. 5,900"
31,Dunhill Icon Eau De Parfum For Men 100ML,5.00,"Rs. 8,300"
32,Issey Miyake Leau Dissey For Men,4.50,"Rs. 5,510"
33,Versace Blue Jeans Eau De Toilette For Men 75ml,4.33,"Rs. 3,500"
34,Armaf Club De Nuit Intense Man Pure Parfum 150ml,4.38,"Rs. 6,000"
35,Davidoff Champion Eau De Toilette For Men 90ml,4.57,"Rs. 5,900"
36,Hugo Boss Man Eau De Toilette,4.42,"Rs. 4,150"
37,Bvlgari Man in Black Eau De Parfum For Men,4.33,"Rs. 4,150"
38,Dunhill Desire Red Eau De Toilette For Men,4.33,"Rs. 5,100"
39,Calvin Klein CK IN2U Eau De Toilette For Men,4.38,"Rs. 4,150"
40,Mont Blanc Individuel Eau De Toilette For Men 75ml,4.50,"Rs. 5,000"
41,Paco Rabanne One Million Eau De Toilette for Men,4.31,"Rs. 8,450"
42,Versace Dylan Blue Eau De Toilette For Men,4.50,"Rs. 7,200"
43,Bvlgari Aqva Pour Homme Eau De Toilette,4.20,"Rs. 9,750"
44,Azzaro Chrome Eau De Toilette For Men,4.60,"Rs. 4,500"
45,Hugo Boss Bottled Eau De Toilette For Men,4.29,"Rs. 4,500"
