Place Name,Likes,Dislikes
Colosseum,552,552
Eiffel Tower,583,583
Louvre Museum,502,502
Big Ben,487,487
"St. Peter's Basilica, Vatican",441,441
Arc de Triomphe,454,454
Notre Dame Cathedral,432,432
Tower Bridge,413,413
Sistine Chapel,396,396
Buckingham Palace,401,401
Tower of London,389,389
Statue of Liberty,371,371
Grand Canyon,365,365
Trevi Fountain,367,367
Westminster Abbey,351,351
Times Square,365,365
Florence Cathedral,331,331
Empire State Building,328,328
Versailles,340,340
St. Mark's Square Venice,326,326
Pantheon,299,299
St. Paul's Cathedral,303,303
Central Park,311,311
British Museum,289,289
Trafalgar Square,304,304
Golden Gate Bridge,285,285
Sagrada Familia,273,273
"Acropolis, Greece",263,263
Niagara Falls,264,264
Piccadilly Circus,281,281
Las Vegas,268,268
Spanish Steps,253,253
"Leaning Tower of Pisa, Pisa",241,241
Capitol Hill,239,239
Smithsonian National Museum of Natural History,233,233
Pompeii,224,224
White House,238,238
Washington Monument,246,246
Lincoln Memorial,237,237
Windsor Castle,216,216
Stonehenge,209,209
Brooklyn Bridge,217,217
Edinburgh Castle,199,199
Bridge of Sighs,208,208
Rialto Bridge,200,200
Ponte Vecchio,195,195
Sacre-Coeur Basilica,211,211
Great Wall of China,192,192
London Eye,224,224
St. Mark's Basilica & Campanile,187,187
The Pyramids of Giza,195,195
Prague Castle,193,193
White Cliffs of Dover,176,176
Alcatraz,190,190
Yosemite National Park,181,181
Milan Cathedral,167,167
Berlin Wall,172,172
Sydney Opera House,161,161
Rockefeller Center,181,181
Yellowstone National Park,166,166
Hollywood Sign,192,192
Hagia Sophia,163,163
Great Barrier Reef,151,151
"Brandenburg Gate, Berlin",158,158
Moulin Rouge,178,178
Machu Picchu,154,154
"Bath, England",164,164
Alhambra,159,159
"Mont St. Michel, France",143,143
Hoover Dam,156,156
"Blue Mosque, Istanbul",141,141
Madrid Palace,142,142
The Great Sphinx,144,144
Cambridge University,150,150
Hollywood Walk of Fame,173,173
"The Forbidden City, China",147,147
Taj Mahal,141,141
Neuschwanstein Castle,137,137
Tivoli Gardens,136,136
Rock of Gibraltar,127,127
Sydney Harbor Bridge,123,123
Chichen Itza Mexico,122,122
Cologne Cathedral,128,128
Ellis Island,139,139
Oxford University,142,142
Guggenheim (New York City),130,130
"Ancient City Walls, Dubrovnik",119,119
Loch Ness,123,123
Sequoia National Park,116,116
"Redwood National Park, California",117,117
Santorini,124,124
Saint Basil's Cathedral,117,117
"Grand Bazaar, Istanbul",115,115
Jerusalem Old City,113,113
Terracotta Warriors,113,113
Dead Sea,113,113
Everglades National Park,114,114
"Angkor Wat, Cambodia",108,108
Hawaii Volcanoes National Park,110,110
Petra,111,111
Ephesus,105,105
Vesuvio,111,111
Death Valley,101,101
Schonbrunn Palace,106,106
Space Needle,115,115
Luxor,103,103
"Piazza Del Campo, Siena",103,103
Banff National Park,96,96
"Christ the Redeemer - Rio De Janerio, Brazil",100,100
Gateway Arch,108,108
San Diego Zoo,117,117
Hermitage Museum,94,94
Charles Bridge,98,98
Arches National Park,97,97
Rijksmuseum,92,92
Matterhorn,93,93
Berlin Cathedral,95,95
Mezquita of Cordoba,95,95
Valley of the Kings,97,97
Siena Cathedral,100,100
Little Mermaid,118,118
"Great Smoky Mountains National Park, Tennessee",96,96
"Bryce Canyon National Park, Utah",97,97
Mount Everest,91,91
"Freedom Tower, Ground Zero",103,103
Van Gogh Museum,90,90
CN Tower,106,106
"Tsarskoye Selo (Catherine Palace), St Petersburg, Russia",77,77
"Grand Teton National Park, Wyoming",84,84
Mount Rushmore,95,95
"Knossos, Crete",78,78
"The Summer Palace, China",82,82
Pompidue Center,104,104
Fuji,79,79
Tate Modern,91,91
"Zion National Park, Utah",88,88
Berlin Museum Island,79,79
"Cloud Gate, Chicago",88,88
"Lago Di Garda, Italy",79,79
Willis Tower (Sears Tower),91,91
Chartres Cathedral,79,79
"D-Day Beaches, American Cemetary",83,83
Big Sur,80,80
Basilica in Assisi,75,75
"Gamla Stan, Stockholm",76,76
Portofino,80,80
Great Buddha,76,76
Halong Bay,68,68
Marrakech Bazaar,81,81
Uluru,69,69
Kilimanjaro,70,70
Iguazu Falls,68,68
Kremlin,74,74
"Cappadocia, Turkey",72,72
Wailing Wall,73,73
Carcassonne,69,69
Victoria Falls,68,68
Brussels: Mannekin-Pis,95,95
Blue Lagoon,70,70
Delphi,66,66
"Glacier Bay National Park, Alaska",62,62
Pentagon,97,97
Mount Etna,66,66
Pond Du Garre,62,62
Monument Valley Navajo Tribal Park,68,68
Galapagos Islands,71,71
Helsinki Cathedral,77,77
Osaka Castle,64,64
"Oresund Bridge, Copenhagen",66,66
The Panama Canal,68,68
Moai,65,65
Table Mountain Cape Town,67,67
"Serengeti National Park, Tanzania",62,62
"Trentino Dolomites, Italy",62,62
"Great Geysir, Iceland",62,62
Arena Di Verona,61,61
Nyhavn,66,66
Lover's Bridge,87,87
Milford Sound,59,59
"Tallinn Town Hall Square, Estonia",67,67
Teotihuacan,61,61
"Trolltunga, Norway",54,54
Twelve Apostles,58,58
Giant's Causeway,59,59
Chateau De Chambord,58,58
"Lascaux Caves, France",61,61
"Papel Palace, Avignon",59,59
"Atomium, Brussels",76,76
"Gullfoss Waterfall, Iceland",63,63
"Masai Mara, Kenya",60,60
"Carlsbad Caverns National Park, New Mexico",58,58
"Mesa Verde National Park, Colorado",67,67
Angel Falls,54,54
"Great Blue Hole, Belize",56,56
The Gherkin,85,85
Lake Baikal,56,56
Antelope Canyon,64,64
Torre De Belém (Belém Tower),59,59
Matsumoto Castle,51,51
Pont D'Avignon,59,59
Mecca,67,67
Guggenheim Museum (Bilbao),57,57
Mill Complex at Kinderdijk,61,61
Brighton Pier,74,74
Lake Titicaca,56,56
Tokyo Tower,69,69
"Tigers Nest Monastery, Bhutan",56,56
Auschwitz,82,82
Kronborg Castle,47,47
Okavango Delta,48,48
"Borobudur Temple, Java",53,53
"Potala Palace, Lhasa",50,50
Chapel Bridge,49,49
"Ollantaytambo, Peru",46,46
Þingvellir National Park,50,50
Ngorongoro Crater,44,44
Festung Hohensalzburg,45,45
Torres Del Paine National Park,44,44
Zhangjiajie China,42,42
Burj Khalifa,62,62
Oslo Opera House,46,46
"Millau Bridge, France",47,47
Bryggen,45,45
Banaue Rice Terraces,40,40
Green Park,51,51
The Nazca Lines,43,43
Tian Tan Buddha,47,47
Salar De Uyuni (Bolivia),39,39
Burj Al Arab Hotel,62,62
Juliet's Balcony,63,63
The Shard,66,66
Church in the Rock,44,44
Carnac,40,40
Golden Temple - Darbar Sahib - Harmandir Sahib,38,38
Oriental Pearl Tower,48,48
Bodiam Castle,37,37
Roskilde Cathedral,41,41
"Winslow, AZ - Meteor Barringer Crater",43,43
The Aswan High Dam,43,43
"Komodo Island, Indonesia",41,41
Shanghai World Finacial Center,53,53
Amalienborg Palace,39,39
"Monte Fitz Roy, El Chalten, Argentina/Chile",37,37
"Rock-Hewn Churches, Lalibela",38,38
Bran Castle,34,34
Drottningholm Palace,37,37
Pienza,40,40
Newgrange,39,39
Krakow - Wawel Cathedral,48,48
Disneyland Paris,94,94
